OBJECTID,insar_velocity_mm_yr,insar_coherence,insar_reliable,insar_incidence_deg,insar_vertical_mm_yr,insar_velocity_gradient,insar_gradient_score,insar_has_data
1,,,False,42.84109115600586,,,,0
2,,,False,42.84109115600586,,,,0
3,-30.584726482629776,0.7517104744911194,True,43.13127136230469,-41.90898494043519,23.939321517944336,100.0,1
4,,,False,44.682106018066406,,,,0
5,,,False,43.22249603271485,,,,0
6,,,False,43.22249603271485,,,,0
7,-12.073835358023643,0.9352100491523744,True,44.60322952270508,-16.957956239626263,11.4890775680542,55.35,1
8,,,False,42.69420623779297,,,,0
9,,,False,43.070255279541016,,,,0
10,,,False,43.10853576660156,,,,0
11,,,False,43.10853576660156,,,,0
12,,,False,43.10853576660156,,,,0
13,,,False,43.10853576660156,,,,0
14,,,False,43.10853576660156,,,,0
15,,,False,44.59708404541016,,,,0
16,,,False,,,,,0
17,,,False,,,,,0
18,,,False,,,,,0
19,-30.876880511641502,0.9283653497695924,True,44.03386688232422,-42.94843788884707,,,0
20,,,False,44.04071044921875,,,,0
21,,,False,44.33065414428711,,,,0
22,,,False,44.28833770751953,,,,0
23,,,False,44.28833770751953,,,,0
24,,,False,44.29345703125,,,,0
25,,,False,44.29345703125,,,,0
26,,,False,44.297119140625,,,,0
27,,,False,44.29576873779297,,,,0
28,,,False,44.29576873779297,,,,0
29,,,False,44.29576873779297,,,,0
30,,,False,44.29891586303711,,,,0
31,,,False,44.29891586303711,,,,0
32,,,False,44.30284881591797,,,,0
33,,,False,44.307376861572266,,,,0
34,,,False,44.30280303955078,,,,0
35,,,False,44.30280303955078,,,,0
36,,,False,,,,,0
37,,,False,,,,,0
38,,,False,,,,,0
39,,,False,,,,,0
40,,,False,44.08585357666016,,,,0
41,,,False,44.58920669555664,,,,0
42,,,False,44.58920669555664,,,,0
43,-14.936266466975212,0.9324796199798584,True,44.58613967895508,-20.972132596438733,,,0
44,,,False,,,,,0
45,,,False,,,,,0
46,,,False,,,,,0
47,,,False,44.411399841308594,,,,0
48,,,False,,,,,0
49,,,False,43.873870849609375,,,,0
50,,,False,,,,,0
51,8.635269477963448,0.9601004123687744,True,43.890018463134766,11.982248083938773,1.6299564838409424,7.85,1
52,,,False,44.1849479675293,,,,0
53,,,False,44.043270111083984,,,,0
54,,,False,43.800384521484375,,,,0
55,,,False,,,,,0
56,,,False,,,,,0
57,,,False,,,,,0
58,,,False,,,,,0
59,,,False,,,,,0
60,,,False,,,,,0
61,,,False,,,,,0
62,,,False,,,,,0
63,,,False,,,,,0
64,,,False,,,,,0
65,,,False,,,,,0
66,-2.5617219507694244,0.9333485960960388,True,44.58969497680664,-3.5971545329071053,,,0
67,,,False,43.65107345581055,,,,0
