object_id,score_name,score_value
444,Ground subsidence (InSAR),0.182
445,Ground subsidence (InSAR),0.182
446,Ground subsidence (InSAR),0.2501
449,Ground subsidence (InSAR),0.2501
451,Ground subsidence (InSAR),0.2501
452,Ground subsidence (InSAR),0.3453
461,Ground subsidence (InSAR),0.0464
462,Ground subsidence (InSAR),0.0464
463,Ground subsidence (InSAR),0.0464
465,Ground subsidence (InSAR),0.0464
466,Ground subsidence (InSAR),1.0
467,Ground subsidence (InSAR),1.0
469,Ground subsidence (InSAR),1.0
470,Ground subsidence (InSAR),1.0
471,Ground subsidence (InSAR),1.0
472,Ground subsidence (InSAR),1.0
480,Ground subsidence (InSAR),1.0
481,Ground subsidence (InSAR),1.0
492,Ground subsidence (InSAR),0.1105
493,Ground subsidence (InSAR),0.1103
494,Ground subsidence (InSAR),0.1103
495,Ground subsidence (InSAR),0.1587
499,Ground subsidence (InSAR),0.2029
501,Ground subsidence (InSAR),0.1409
509,Ground subsidence (InSAR),0.1409
517,Ground subsidence (InSAR),0.1409
519,Ground subsidence (InSAR),0.1034
521,Ground subsidence (InSAR),0.1781
522,Ground subsidence (InSAR),0.1034
525,Ground subsidence (InSAR),0.1034
527,Ground subsidence (InSAR),0.1781
529,Ground subsidence (InSAR),0.1781
530,Ground subsidence (InSAR),0.1781
531,Ground subsidence (InSAR),0.1781
540,Ground subsidence (InSAR),0.071
541,Ground subsidence (InSAR),0.1781
542,Ground subsidence (InSAR),0.1781
544,Ground subsidence (InSAR),0.071
546,Ground subsidence (InSAR),0.0984
549,Ground subsidence (InSAR),0.071
551,Ground subsidence (InSAR),0.071
552,Ground subsidence (InSAR),0.1249
555,Ground subsidence (InSAR),0.1249
559,Ground subsidence (InSAR),0.2349
562,Ground subsidence (InSAR),0.2349
563,Ground subsidence (InSAR),0.2836
564,Ground subsidence (InSAR),0.2836
565,Ground subsidence (InSAR),0.1426
566,Ground subsidence (InSAR),0.1801
568,Ground subsidence (InSAR),0.3813
570,Ground subsidence (InSAR),0.1426
571,Ground subsidence (InSAR),0.3813
572,Ground subsidence (InSAR),0.3813
574,Ground subsidence (InSAR),0.1801
576,Ground subsidence (InSAR),0.2668
578,Ground subsidence (InSAR),0.1801
580,Ground subsidence (InSAR),0.2668
581,Ground subsidence (InSAR),0.199
583,Ground subsidence (InSAR),0.218
588,Ground subsidence (InSAR),0.0837
590,Ground subsidence (InSAR),0.0837
595,Ground subsidence (InSAR),0.0837
597,Ground subsidence (InSAR),0.2349
598,Ground subsidence (InSAR),0.2349
599,Ground subsidence (InSAR),0.8598
600,Ground subsidence (InSAR),0.8598
602,Ground subsidence (InSAR),0.1426
604,Ground subsidence (InSAR),0.1426
607,Ground subsidence (InSAR),0.1426
608,Ground subsidence (InSAR),0.1801
609,Ground subsidence (InSAR),0.1426
610,Ground subsidence (InSAR),0.1801
611,Ground subsidence (InSAR),0.1801
612,Ground subsidence (InSAR),0.1801
613,Ground subsidence (InSAR),0.199
614,Ground subsidence (InSAR),0.199
615,Ground subsidence (InSAR),0.199
616,Ground subsidence (InSAR),0.199
617,Ground subsidence (InSAR),0.8598
618,Ground subsidence (InSAR),0.8598
619,Ground subsidence (InSAR),0.8598
632,Ground subsidence (InSAR),0.0653
633,Ground subsidence (InSAR),0.0653
635,Ground subsidence (InSAR),0.0653
636,Ground subsidence (InSAR),0.0653
637,Ground subsidence (InSAR),0.0653
639,Ground subsidence (InSAR),0.0653
640,Ground subsidence (InSAR),0.0653
642,Ground subsidence (InSAR),0.0653
643,Ground subsidence (InSAR),0.0653
644,Ground subsidence (InSAR),0.0653
647,Ground subsidence (InSAR),0.0653
649,Ground subsidence (InSAR),0.0233
652,Ground subsidence (InSAR),0.0233
654,Ground subsidence (InSAR),0.156
655,Ground subsidence (InSAR),0.156
657,Ground subsidence (InSAR),0.1496
659,Ground subsidence (InSAR),0.1496
661,Ground subsidence (InSAR),0.1496
662,Ground subsidence (InSAR),0.1103
664,Ground subsidence (InSAR),0.1103
736,Ground subsidence (InSAR),0.1894
739,Ground subsidence (InSAR),0.1894
740,Ground subsidence (InSAR),0.1894
741,Ground subsidence (InSAR),0.0794
744,Ground subsidence (InSAR),0.0794
745,Ground subsidence (InSAR),0.0794
746,Ground subsidence (InSAR),0.0794
747,Ground subsidence (InSAR),0.0794
793,Ground subsidence (InSAR),0.0794
794,Ground subsidence (InSAR),0.0794
795,Ground subsidence (InSAR),0.0794
811,Ground subsidence (InSAR),0.2349
812,Ground subsidence (InSAR),0.218
813,Ground subsidence (InSAR),0.0928
815,Ground subsidence (InSAR),0.0928
816,Ground subsidence (InSAR),0.0928
817,Ground subsidence (InSAR),0.0928
818,Ground subsidence (InSAR),0.071
870,Ground subsidence (InSAR),0.0793
871,Ground subsidence (InSAR),0.0793
872,Ground subsidence (InSAR),0.0793
873,Ground subsidence (InSAR),0.0793
874,Ground subsidence (InSAR),0.0793
875,Ground subsidence (InSAR),0.0793
876,Ground subsidence (InSAR),0.1111
877,Ground subsidence (InSAR),0.1111
878,Ground subsidence (InSAR),0.1111
879,Ground subsidence (InSAR),0.1111
880,Ground subsidence (InSAR),0.2942
921,Ground subsidence (InSAR),0.2942
937,Ground subsidence (InSAR),0.1629
948,Ground subsidence (InSAR),0.0631
950,Ground subsidence (InSAR),1.0
951,Ground subsidence (InSAR),0.0631
952,Ground subsidence (InSAR),0.0631
953,Ground subsidence (InSAR),0.3443
956,Ground subsidence (InSAR),0.3443
957,Ground subsidence (InSAR),0.1629
958,Ground subsidence (InSAR),0.0631
1020,Ground subsidence (InSAR),1.0
1029,Ground subsidence (InSAR),0.218
1030,Ground subsidence (InSAR),0.218
1031,Ground subsidence (InSAR),0.9281
1034,Ground subsidence (InSAR),0.1168
1035,Ground subsidence (InSAR),0.1168
1036,Ground subsidence (InSAR),0.26
1038,Ground subsidence (InSAR),0.6892
1039,Ground subsidence (InSAR),1.0
1041,Ground subsidence (InSAR),0.244
1043,Ground subsidence (InSAR),0.218
1044,Ground subsidence (InSAR),0.9281
1045,Ground subsidence (InSAR),1.0
1050,Ground subsidence (InSAR),0.1168
1051,Ground subsidence (InSAR),0.26
1054,Ground subsidence (InSAR),0.26
1055,Ground subsidence (InSAR),0.26
1058,Ground subsidence (InSAR),0.797
1059,Ground subsidence (InSAR),0.7855
1060,Ground subsidence (InSAR),0.797
1063,Ground subsidence (InSAR),0.797
1064,Ground subsidence (InSAR),0.7674
1065,Ground subsidence (InSAR),0.7674
1070,Ground subsidence (InSAR),0.7318
1073,Ground subsidence (InSAR),0.7318
1074,Ground subsidence (InSAR),0.7318
1079,Ground subsidence (InSAR),1.0
1080,Ground subsidence (InSAR),0.7318
1082,Ground subsidence (InSAR),0.1049
1084,Ground subsidence (InSAR),0.1049
1087,Ground subsidence (InSAR),0.1049
1089,Ground subsidence (InSAR),0.2052
1092,Ground subsidence (InSAR),0.2052
1094,Ground subsidence (InSAR),0.021
1112,Ground subsidence (InSAR),0.7318
1114,Ground subsidence (InSAR),0.7318
1120,Ground subsidence (InSAR),0.1585
1121,Ground subsidence (InSAR),0.1585
1122,Ground subsidence (InSAR),0.1585
1123,Ground subsidence (InSAR),0.1585
1125,Ground subsidence (InSAR),0.3016
1127,Ground subsidence (InSAR),0.3016
1128,Ground subsidence (InSAR),0.3016
1129,Ground subsidence (InSAR),0.3016
1131,Ground subsidence (InSAR),0.0962
