OBJECTID,insar_velocity_mm_yr,insar_coherence,insar_reliable,insar_incidence_deg,insar_vertical_mm_yr,insar_velocity_gradient,insar_gradient_score,insar_has_data
31518,0.0,0.0,False,44.06852340698242,0.0,,,0
31519,0.0,0.0,False,44.248783111572266,0.0,,,0
31520,0.0,0.0,False,,,,,0
31521,0.0,0.0,False,,,,,0
31522,0.0,0.0,False,,,,,0
31523,0.0,0.0,False,44.248783111572266,0.0,,,0
31524,0.0,0.0,False,,,,,0
31525,0.0,0.0,False,,,,,0
31526,0.0,0.0,False,,,,,0
31527,0.0,0.0,False,,,,,0
31528,0.0,0.0,False,,,,,0
31529,0.0,0.0,False,,,,,0
31530,0.0,0.0,False,44.248783111572266,0.0,,,0
31531,0.0,0.0,False,,,,,0
31532,0.0,0.0,False,,,,,0
31533,0.0,0.0,False,44.248783111572266,0.0,,,0
31534,0.0,0.0,False,,,,,0
31535,0.0,0.0,False,,,,,0
31536,0.0,0.0,False,,,,,0
31537,0.0,0.0,False,44.248783111572266,0.0,,,0
31538,0.0,0.0,False,44.208744049072266,0.0,,,0
31539,0.0,0.0,False,,,,,0
31540,0.0,0.0,False,,,,,0
31541,0.0,0.0,False,44.248783111572266,0.0,,,0
31542,0.0,0.0,False,,,,,0
31543,0.0,0.0,False,,,,,0
31544,0.0,0.0,False,44.248783111572266,0.0,,,0
31545,0.0,0.0,False,,,,,0
31546,0.0,0.0,False,,,,,0
31547,0.0,0.0,False,,,,,0
31548,0.0,0.0,False,44.248783111572266,0.0,,,0
31549,0.0,0.0,False,44.208744049072266,0.0,,,0
31550,0.0,0.0,False,44.248783111572266,0.0,,,0
31551,0.0,0.0,False,44.248783111572266,0.0,,,0
31552,0.0,0.0,False,44.06852340698242,0.0,,,0
31553,0.0,0.0,False,44.248783111572266,0.0,,,0
31554,0.0,0.0,False,44.06852340698242,0.0,,,0
31555,0.0,0.0,False,44.248783111572266,0.0,,,0
31556,0.0,0.0,False,44.06852340698242,0.0,,,0
31557,0.0,0.0,False,,,,,0
31558,0.0,0.0,False,43.83605194091797,0.0,,,0
31559,0.0,0.0,False,44.248783111572266,0.0,,,0
31560,0.0,0.0,False,,,,,0
31561,-7.8389587,0.89227754,True,44.51817321777344,-10.993898798253008,,,0
31562,0.0,0.0,False,44.51407241821289,0.0,,,0
31563,0.0,0.0,False,43.83909225463867,0.0,,,0
31564,-7.8389587,0.89227754,True,44.51817321777344,-10.993898798253008,,,0
31565,0.0,0.0,False,44.248783111572266,0.0,,,0
31566,0.0,0.0,False,44.248783111572266,0.0,,,0
31567,0.0,0.0,False,44.248783111572266,0.0,,,0
31568,-7.8389587,0.89227754,True,44.51817321777344,-10.993898798253008,,,0
31569,0.0,0.0,False,44.06852340698242,0.0,,,0
31570,0.45068914,0.9685722,True,43.94103240966797,0.6259098899942025,,,0
31571,0.0,0.0,False,44.248783111572266,0.0,,,0
31572,0.0,0.0,False,44.06852340698242,0.0,,,0
31573,-6.24847,0.92163765,True,44.525028228759766,-8.764318123687051,10.46400260925293,50.41,1
31574,0.0,0.0,False,44.248783111572266,0.0,,,0
31575,0.45068914,0.9685722,True,43.94103240966797,0.6259098899942025,,,0
31576,0.0,0.0,False,44.248783111572266,0.0,,,0
31577,0.0,0.0,False,44.248783111572266,0.0,,,0
31578,1.1810547,0.9441971,True,44.5240592956543,1.6565602984330838,6.157947063446045,29.67,1
31579,0.0,0.0,False,44.25191116333008,0.0,,,0
31580,0.0,0.0,False,44.20025634765625,0.0,,,0
31581,4.498563,0.9269944,True,44.11692810058594,6.2661002455475465,5.406926155090332,26.05,1
31582,-26.673315,0.61042565,False,44.205848693847656,-37.20960878179103,,,0
31583,-1.0165548,0.9251955,True,44.11670684814453,-1.4159656982915017,4.086134910583496,19.69,1
31584,-26.673315,0.61042565,False,44.205848693847656,-37.20960878179103,,,0
31585,-1.0165548,0.9251955,True,44.11670684814453,-1.4159656982915017,4.086134910583496,19.69,1
31586,-1.0165548,0.9251955,True,44.11670684814453,-1.4159656982915017,4.086134910583496,19.69,1
31587,0.0,0.0,False,,,,,0
31588,-1.1604267,0.9445743,True,44.12014389038086,-1.616459814563933,4.335049629211426,20.89,1
31589,0.0,0.0,False,44.0687370300293,0.0,,,0
31590,0.0,0.0,False,44.51985549926758,0.0,,,0
31591,-1.1604267,0.9445743,True,44.12014389038086,-1.616459814563933,4.335049629211426,20.89,1
31592,12.520573,0.9606943,True,43.94437789916992,17.3893502851916,,,0
31593,0.0,0.0,False,44.07479095458984,0.0,,,0
31594,-1.0165548,0.9251955,True,44.11670684814453,-1.4159656982915017,4.086134910583496,19.69,1
31595,0.4223302,0.9552081,True,44.16579055786133,0.5887556958654073,,,0
31596,0.0,0.0,False,43.19888305664063,0.0,,,0
31597,-1.0165548,0.9251955,True,44.11670684814453,-1.4159656982915017,4.086134910583496,19.69,1
31598,0.0,0.0,False,0.0,0.0,,,0
31599,3.1387992,0.87275773,True,43.83549118041992,4.351397164341964,2.6031417846679688,12.54,1
31600,0.0,0.0,False,44.07479095458984,0.0,,,0
31601,-1.0165548,0.9251955,True,44.11670684814453,-1.4159656982915017,4.086134910583496,19.69,1
31602,-1.0165548,0.9251955,True,44.11670684814453,-1.4159656982915017,4.086134910583496,19.69,1
31603,-44.39509,0.7080046,True,44.20216751098633,-61.92783456145892,,,0
31604,-1.0165548,0.9251955,True,44.11670684814453,-1.4159656982915017,4.086134910583496,19.69,1
31605,0.0,0.0,False,44.07479095458984,0.0,,,0
31606,-1.0165548,0.9251955,True,44.11670684814453,-1.4159656982915017,4.086134910583496,19.69,1
31607,0.0,0.0,False,44.07479095458984,0.0,,,0
31608,-1.0165548,0.9251955,True,44.11670684814453,-1.4159656982915017,4.086134910583496,19.69,1
31609,-26.673315,0.61042565,False,44.205848693847656,-37.20960878179103,,,0
31610,-1.0165548,0.9251955,True,44.11670684814453,-1.4159656982915017,4.086134910583496,19.69,1
31611,0.0,0.0,False,,,,,0
31612,0.0,0.0,False,44.27186584472656,0.0,,,0
31613,-26.673315,0.61042565,False,44.205848693847656,-37.20960878179103,,,0
31614,-1.0165548,0.9251955,True,44.11670684814453,-1.4159656982915017,4.086134910583496,19.69,1
31615,0.0,0.0,False,44.07970428466797,0.0,,,0
31616,-1.0165548,0.9251955,True,44.11670684814453,-1.4159656982915017,4.086134910583496,19.69,1
31617,-1.0165548,0.9251955,True,44.11670684814453,-1.4159656982915017,4.086134910583496,19.69,1
31618,-1.0165548,0.9251955,True,44.11670684814453,-1.4159656982915017,4.086134910583496,19.69,1
31619,-44.39509,0.7080046,True,44.20216751098633,-61.92783456145892,,,0
31620,-1.0165548,0.9251955,True,44.11670684814453,-1.4159656982915017,4.086134910583496,19.69,1
31621,-1.0165548,0.9251955,True,44.11670684814453,-1.4159656982915017,4.086134910583496,19.69,1
31622,0.0,0.0,False,44.27186584472656,0.0,,,0
31623,0.0,0.0,False,43.19042205810547,0.0,,,0
31624,-1.0165548,0.9251955,True,44.11670684814453,-1.4159656982915017,4.086134910583496,19.69,1
31625,0.0,0.0,False,0.0,0.0,,,0
31626,0.0,0.0,False,44.25209426879883,0.0,,,0
31627,-1.0165548,0.9251955,True,44.11670684814453,-1.4159656982915017,4.086134910583496,19.69,1
31628,0.0,0.0,False,44.19935989379883,0.0,,,0
31629,0.0,0.0,False,44.25191116333008,0.0,,,0
31630,0.0,0.0,False,44.248783111572266,0.0,,,0
31631,0.0,0.0,False,,,,,0
31632,0.0,0.0,False,43.8533935546875,0.0,,,0
31633,0.0,0.0,False,44.19935989379883,0.0,,,0
31634,0.0,0.0,False,44.248783111572266,0.0,,,0
31635,26.480701,0.651415,False,43.18653869628906,36.3182448568291,,,0
31636,0.0,0.0,False,44.19935989379883,0.0,,,0
31637,0.0,0.0,False,43.8533935546875,0.0,,,0
31638,0.0,0.0,False,44.245853424072266,0.0,,,0
31639,0.0,0.0,False,44.245853424072266,0.0,,,0
31640,0.0,0.0,False,,,,,0
31641,0.0,0.0,False,44.19935989379883,0.0,,,0
31642,0.0,0.0,False,43.85269927978516,0.0,,,0
31643,0.0,0.0,False,44.19935989379883,0.0,,,0
31644,0.0,0.0,False,,,,,0
31645,0.0,0.0,False,44.07970428466797,0.0,,,0
31646,0.0,0.0,False,44.07970428466797,0.0,,,0
31647,0.0,0.0,False,44.07970428466797,0.0,,,0
31648,0.0,0.0,False,44.3614501953125,0.0,,,0
31649,0.0,0.0,False,44.08263397216797,0.0,,,0
31650,0.0,0.0,False,43.85269927978516,0.0,,,0
31651,0.0,0.0,False,44.08585357666016,0.0,,,0
31652,0.0,0.0,False,43.85269927978516,0.0,,,0
31653,0.0,0.0,False,43.19987869262695,0.0,,,0
31654,0.0,0.0,False,44.08263397216797,0.0,,,0
31655,0.0,0.0,False,44.08263397216797,0.0,,,0
31656,0.0,0.0,False,43.17452239990234,0.0,,,0
31657,0.0,0.0,False,43.2015495300293,0.0,,,0
31658,0.0,0.0,False,0.0,0.0,,,0
31659,0.0,0.0,False,0.0,0.0,,,0
31660,0.0,0.0,False,0.0,0.0,,,0
31661,0.0,0.0,False,43.19557189941406,0.0,,,0
31662,0.0,0.0,False,0.0,0.0,,,0
31663,0.0,0.0,False,0.0,0.0,,,0
31664,0.0,0.0,False,0.0,0.0,,,0
31665,0.0,0.0,False,43.19557189941406,0.0,,,0
31666,0.0,0.0,False,0.0,0.0,,,0
31667,0.0,0.0,False,0.0,0.0,,,0
31668,0.0,0.0,False,0.0,0.0,,,0
31669,0.0,0.0,False,43.19557189941406,0.0,,,0
31670,0.0,0.0,False,0.0,0.0,,,0
31671,0.0,0.0,False,0.0,0.0,,,0
31672,0.0,0.0,False,0.0,0.0,,,0
31673,0.0,0.0,False,0.0,0.0,,,0
31674,0.0,0.0,False,0.0,0.0,,,0
31675,0.0,0.0,False,43.19987869262695,0.0,,,0
31676,0.0,0.0,False,44.087158203125,0.0,,,0
31677,0.0,0.0,False,0.0,0.0,,,0
31678,0.0,0.0,False,0.0,0.0,,,0
31679,0.0,0.0,False,0.0,0.0,,,0
31680,0.0,0.0,False,0.0,0.0,,,0
31681,0.0,0.0,False,,,,,0
31682,0.0,0.0,False,0.0,0.0,,,0
31683,0.0,0.0,False,0.0,0.0,,,0
31684,0.0,0.0,False,44.087158203125,0.0,,,0
31685,0.0,0.0,False,0.0,0.0,,,0
31686,0.0,0.0,False,0.0,0.0,,,0
31687,0.0,0.0,False,0.0,0.0,,,0
31688,0.0,0.0,False,0.0,0.0,,,0
31689,0.0,0.0,False,0.0,0.0,,,0
31690,0.0,0.0,False,,,,,0
31691,0.0,0.0,False,0.0,0.0,,,0
31692,0.0,0.0,False,43.170509338378906,0.0,,,0
31693,0.0,0.0,False,44.25209426879883,0.0,,,0
31694,3.3639607,0.9309842,True,43.83318710327149,4.663364296871745,,,0
31695,0.0,0.0,False,,,,,0
31696,3.3639607,0.9309842,True,43.83318710327149,4.663364296871745,,,0
31697,0.0,0.0,False,43.84352493286133,0.0,,,0
31698,0.0,0.0,False,43.84352493286133,0.0,,,0
31699,0.0,0.0,False,43.83137512207031,0.0,,,0
31700,-39.809685,0.777045,True,44.20201110839844,-55.53139157333906,,,0
31701,0.0,0.0,False,,,,,0
31702,0.0,0.0,False,43.84733200073242,0.0,,,0
31703,0.0,0.0,False,43.836036682128906,0.0,,,0
31704,-39.809685,0.777045,True,44.20201110839844,-55.53139157333906,,,0
31705,0.0,0.0,False,43.836036682128906,0.0,,,0
31706,0.0,0.0,False,44.249420166015625,0.0,,,0
31707,0.0,0.0,False,43.84352493286133,0.0,,,0
31708,0.0,0.0,False,44.249420166015625,0.0,,,0
31709,0.0,0.0,False,43.836036682128906,0.0,,,0
31710,0.0,0.0,False,44.20197296142578,0.0,,,0
31711,0.0,0.0,False,43.836036682128906,0.0,,,0
31712,0.0,0.0,False,44.20197296142578,0.0,,,0
31713,-4.7953134,0.9598003,True,44.17578887939453,-6.68611125119038,1.9156808853149414,9.23,1
31714,0.0,0.0,False,43.84733200073242,0.0,,,0
31715,0.0,0.0,False,0.0,0.0,,,0
31716,0.0,0.0,False,44.20197296142578,0.0,,,0
31717,-4.3766336,0.94866323,True,44.1792221069336,-6.102700935532915,4.188227653503418,20.18,1
31718,0.0,0.0,False,0.0,0.0,,,0
31719,0.0,0.0,False,0.0,0.0,,,0
31720,0.0,0.0,False,44.20197296142578,0.0,,,0
31721,0.0,0.0,False,0.0,0.0,,,0
31722,-39.809685,0.777045,True,44.20201110839844,-55.53139157333906,,,0
31723,0.0,0.0,False,43.19987869262695,0.0,,,0
31724,-4.7953134,0.9598003,True,44.17578887939453,-6.68611125119038,1.9156808853149414,9.23,1
31725,0.0,0.0,False,0.0,0.0,,,0
31726,0.0,0.0,False,0.0,0.0,,,0
31727,-39.809685,0.777045,True,44.20201110839844,-55.53139157333906,,,0
31728,0.0,0.0,False,44.93683624267578,0.0,,,0
31729,0.0,0.0,False,0.0,0.0,,,0
31730,0.0,0.0,False,,,,,0
31731,42.651268,0.83744174,True,43.85158157348633,59.14448791805031,,,0
31732,0.0,0.0,False,43.19987869262695,0.0,,,0
31733,-7.7420125,0.9479967,True,44.015262603759766,-10.765433611660193,,,0
31734,0.0,0.0,False,0.0,0.0,,,0
31735,0.0,0.0,False,43.19557189941406,0.0,,,0
31736,42.651268,0.83744174,True,43.85158157348633,59.14448791805031,,,0
31737,-39.809685,0.777045,True,44.20201110839844,-55.53139157333906,,,0
31738,0.0,0.0,False,0.0,0.0,,,0
31739,0.0,0.0,False,,,,,0
31740,0.0,0.0,False,44.93683624267578,0.0,,,0
31741,0.0,0.0,False,,,,,0
31742,0.0,0.0,False,0.0,0.0,,,0
31743,42.651268,0.83744174,True,43.85158157348633,59.14448791805031,,,0
31744,-7.7420125,0.9479967,True,44.015262603759766,-10.765433611660193,,,0
31745,0.0,0.0,False,44.9366455078125,0.0,,,0
31746,42.651268,0.83744174,True,43.85158157348633,59.14448791805031,,,0
31747,0.0,0.0,False,43.84090423583984,0.0,,,0
31748,0.0,0.0,False,0.0,0.0,,,0
31749,0.0,0.0,False,,,,,0
31750,0.0,0.0,False,44.9366455078125,0.0,,,0
31751,0.0,0.0,False,43.85603332519531,0.0,,,0
31752,0.0,0.0,False,43.85603332519531,0.0,,,0
31753,0.0,0.0,False,43.85603332519531,0.0,,,0
31754,0.0,0.0,False,43.18273162841797,0.0,,,0
31755,0.0,0.0,False,43.85603332519531,0.0,,,0
31756,0.0,0.0,False,43.19483947753906,0.0,,,0
31757,0.0,0.0,False,44.9366455078125,0.0,,,0
31758,0.0,0.0,False,43.19643020629883,0.0,,,0
31759,0.0,0.0,False,,,,,0
31760,0.0,0.0,False,44.93683624267578,0.0,,,0
31761,0.0,0.0,False,43.20410537719727,0.0,,,0
31762,0.0,0.0,False,43.1994514465332,0.0,,,0
31763,0.0,0.0,False,44.93232345581055,0.0,,,0
31764,2.8440616,0.9341146,True,44.13932418823242,3.9630287250018754,,,0
31765,0.0,0.0,False,43.1994514465332,0.0,,,0
31766,0.0,0.0,False,43.1994514465332,0.0,,,0
31767,0.0,0.0,False,,,,,0
31768,0.0,0.0,False,44.20197296142578,0.0,,,0
31769,0.0,0.0,False,,,,,0
31770,0.0,0.0,False,43.84748840332031,0.0,,,0
31771,0.0,0.0,False,44.2291374206543,0.0,,,0
31772,0.0,0.0,False,,,,,0
