OBJECTID,top_height_m,base_height_m,storeys,building_height_m
47856,,,,
47857,,,,
47858,,,,
47859,,,,
47883,12.0,4.9,2.0,7.1
49565,17.2,5.9,,11.299999999999999
49566,17.4,5.9,,11.499999999999998
50106,30.5,5.0,,25.5
43952,22.3,17.5,1.0,4.800000000000001
45063,23.0,6.6,2.0,16.4
32571,25.2,5.7,,19.5
32572,13.0,5.7,2.0,7.3
32578,22.0,10.1,3.0,11.9
32581,18.3,6.0,3.0,12.3
32583,21.6,5.1,3.0,16.5
32587,9.6,5.7,4.0,3.8999999999999995
32588,19.8,5.8,4.0,14.0
37725,16.9,12.4,1.0,4.499999999999998
1,30.8,19.7,2.0,11.100000000000001
2,30.6,20.3,2.0,10.3
26411,46.2,38.9,2.0,7.300000000000004
26413,46.2,38.5,2.0,7.700000000000003
26417,47.4,42.3,2.0,5.100000000000001
26419,48.8,40.9,2.0,7.899999999999999
26422,50.2,40.3,2.0,9.900000000000006
26423,50.2,40.3,2.0,9.900000000000006
26425,50.2,40.3,2.0,9.900000000000006
26427,51.0,40.5,2.0,10.5
26429,51.0,40.5,2.0,10.5
26432,51.0,40.5,2.0,10.5
26434,44.0,34.5,2.0,9.5
26436,43.6,34.5,2.0,9.100000000000001
26439,42.8,33.5,2.0,9.299999999999997
26442,41.7,33.6,2.0,8.100000000000001
26444,41.7,32.0,2.0,9.700000000000003
26447,42.0,31.5,2.0,10.5
26450,36.3,29.1,2.0,7.199999999999996
26452,36.5,29.2,2.0,7.300000000000001
26453,36.3,29.2,2.0,7.099999999999998
26455,36.4,29.1,2.0,7.299999999999997
26459,36.4,29.2,2.0,7.199999999999999
26460,31.1,24.3,2.0,6.800000000000001
26462,30.9,24.2,2.0,6.699999999999999
26464,30.6,24.2,2.0,6.400000000000002
26465,30.8,24.3,2.0,6.5
26466,39.3,32.6,2.0,6.699999999999996
26467,38.1,31.6,2.0,6.5
26472,38.1,30.9,2.0,7.200000000000003
26476,37.3,29.9,2.0,7.399999999999999
26480,36.0,26.4,2.0,9.600000000000001
26483,36.2,26.1,2.0,10.100000000000001
26487,36.4,26.1,2.0,10.299999999999997
26492,36.7,27.0,2.0,9.700000000000003
26493,37.8,28.8,2.0,8.999999999999996
26495,37.9,29.6,2.0,8.299999999999997
26497,38.3,31.8,2.0,6.4999999999999964
26500,38.4,32.3,2.0,6.100000000000001
26501,38.7,32.5,2.0,6.200000000000003
29924,38.7,29.4,2.0,9.300000000000004
29932,38.7,29.3,2.0,9.400000000000002
29934,39.8,29.4,2.0,10.399999999999999
