building_id,ds1_objectid,address,district,region,building_type,usage,completion_date,age_years,latitude,longitude,notice_count,last_update,bad_event,score
1563891,24796,14/16 ON FU RD FU KING BUILDING,Tai Po,New Territories,Tower,Residential/Composite,1977-10-11,48.7,22.44791935029781,114.1652696002119,0,,0,0.0
1563957,24798,3 WAI YI ST WAI DAI BUILDING,Tai Po,New Territories,Tower,Residential/Composite,1964-09-02,61.8,22.447884280335305,114.16543599997146,0,,0,0.0
1563970,24799,9A WAI YI ST,Tai Po,New Territories,Tower,Residential/Composite,1971-08-27,54.8,22.447833490223445,114.16553020035848,0,,0,0.0
1564011,24800,17 WAI YI ST,Tai Po,New Territories,Tower,Residential/Composite,1963-08-20,62.8,22.44774675960531,114.16573689963832,0,,0,0.0
1564030,24801,7 SAN ON ST,Tuen Mun,New Territories,Tower,Industrial,1975-09-05,50.8,22.39365295042336,113.97079450016612,0,,0,0.0
1564032,24802,42/44 TAI WING LANE MEI FAT BUILDING,Tai Po,New Territories,Tower,Residential/Composite,1973-07-12,52.9,22.44712700980369,114.1670286003897,0,,0,0.0
1564231,24803,9-15 LUEN CHEONG ST CHEONG WAH BUILDING,North,New Territories,Tower,Residential/Composite,1977-01-14,49.4,22.499024439826087,114.1433548999088,0,,0,0.0
1564278,24804,8 WAI YI ST,Tai Po,New Territories,Tower,Residential/Composite,1973-01-31,53.3,22.44760178979084,114.16534679981498,0,,0,0.0
1564290,24805,10-12 WAI YI ST KAM MING BUILDING,Tai Po,New Territories,Tower,Residential/Composite,1974-04-22,52.1,22.44756467027338,114.16542469999,0,,0,0.0
1564315,24806,32-38 HEUNG SZE WUI SQUARE TAI PO BAPTIST CHURCH,Tai Po,New Territories,Tower,Others,1973-07-16,52.9,22.446825409565065,114.16661689975024,0,,0,0.0
1564324,24807,233 ELECTRIC RD CITY GARDEN BLKS 7-14 CITY GARDEN SHOPPING CENTRE,Eastern,Hong Kong,Podium,Residential/Composite,1986-05-28,40.0,22.291020779785185,114.1933620997811,0,,0,0.0
1564676,24808,191/195 TSUEN KING CIRCUIT ALLWAY GARDENS,Tsuen Wan,New Territories,Podium,Residential/Composite,1978-01-30,48.3,22.377012299977707,114.1042595998008,0,,0,0.0
1564723,24809,39 PO HEUNG ST PO HONG BUILDING,Tai Po,New Territories,Podium,Residential/Composite,1992-02-14,34.3,22.447403320207115,114.16577190035298,0,,0,0.0
1564740,24810,37 PO HEUNG ST PO HONG BUILDING,Tai Po,New Territories,Tower,Residential/Composite,1992-02-14,34.3,22.44738425008313,114.16578430020536,0,,0,0.0
1564785,24811,9 SAN ON ST KIN GA INDUSTRIAL BUILDING,Tuen Mun,New Territories,Podium,Industrial,1991-11-04,34.6,22.393408330330203,113.97083190027206,0,,0,0.0
1564817,24812,187/189 TSUEN KING CIRCUIT ALLWAY GARDENS,Tsuen Wan,New Territories,Podium,Residential/Composite,1978-07-04,47.9,22.37846500995232,114.10471329967912,0,,0,0.0
1564839,24813,45 PO HEUNG ST PO LOK BUILDING,Tai Po,New Territories,Tower,Residential/Composite,1968-11-08,57.6,22.447654839898973,114.1658994997622,0,,0,0.0
1564847,24814,9 SAN ON ST KIN GA INDUSTRIAL BUILDING,Tuen Mun,New Territories,Tower,Industrial,1991-11-04,34.6,22.393408330330203,113.97083190027206,0,,0,0.0
1565027,24817,11 SAN ON ST WAH TAI INDUSTRIAL BUILDING,Tuen Mun,New Territories,Tower,Industrial,1978-03-23,48.2,22.39321142017093,113.97088690011036,0,,0,0.0
1565069,24819,100 POK FU LAM RD,Southern,Hong Kong,Tower,Others,2000-05-30,26.0,22.27486271004608,114.13008750033794,0,,0,0.0
1565070,24820,233 ELECTRIC RD CITY GARDEN BLK 14,Eastern,Hong Kong,Podium,Residential/Composite,1986-05-30,40.0,22.289846060147624,114.1937554002916,0,,0,0.0
1565075,24821,52 FUNG TAK RD,Wong Tai Sin,Kowloon,Tower,Others,1998-05-21,28.0,22.34124205967339,114.20268480036329,0,,0,0.0
1565107,24823,6 FAIRVIEW PARK SECT M 2ND ST FAIRVIEW PARK,Yuen Long,New Territories,Tower,Residential/Composite,1985-11-12,40.6,22.48109201038801,114.04363159991853,0,,0,0.0
1565111,24824,8 FAIRVIEW PARK SECT M 2ND ST FAIRVIEW PARK,Yuen Long,New Territories,Tower,Residential/Composite,1985-11-12,40.6,22.481143840116204,114.04366270027344,0,,0,0.0
1565113,24825,14 FAIRVIEW PARK SECT M 2ND ST FAIRVIEW PARK,Yuen Long,New Territories,Tower,Residential/Composite,1985-11-12,40.6,22.481312779561165,114.04376900013926,0,,0,0.0
1565115,24826,16 FAIRVIEW PARK SECT M 2ND ST FAIRVIEW PARK,Yuen Long,New Territories,Tower,Residential/Composite,1985-11-12,40.6,22.481362770175732,114.04379870024992,0,,0,0.0
1565117,24827,3 CHUI YI ST GREENERY PLAZA,Tai Po,New Territories,Podium,Residential/Composite,1986-12-31,39.4,22.4525971703232,114.16340759978095,0,,0,0.0
1565154,24828,42 FAIRVIEW PARK SECT M 2ND ST FAIRVIEW PARK,Yuen Long,New Territories,Tower,Residential/Composite,1985-11-12,40.6,22.48238574000993,114.04403649988468,0,,0,0.0
1565219,24829,44 FAIRVIEW PARK SECT M 2ND ST FAIRVIEW PARK,Yuen Long,New Territories,Tower,Residential/Composite,1985-11-12,40.6,22.482419389942947,114.04408469994904,0,,0,0.0
1565231,24830,52 FAIRVIEW PARK SECT M 2ND ST FAIRVIEW PARK,Yuen Long,New Territories,Tower,Residential/Composite,1985-11-12,40.6,22.48261739008052,114.04435979986488,0,,0,0.0
1565259,24832,2 FAIRVIEW PARK SECT M 1ST ST FAIRVIEW PARK,Yuen Long,New Territories,Tower,Residential/Composite,1985-03-26,41.2,22.48067611980713,114.04385880014354,0,,0,0.0
1565415,24833,4 FAIRVIEW PARK SECT M 1ST ST FAIRVIEW PARK,Yuen Long,New Territories,Tower,Residential/Composite,1985-03-26,41.2,22.48071249018932,114.04388119955776,0,,0,0.0
1565558,24834,6 FAIRVIEW PARK SECT M 1ST ST FAIRVIEW PARK,Yuen Long,New Territories,Tower,Residential/Composite,1985-03-26,41.2,22.480747210315545,114.04390319967295,0,,0,0.0
1565595,24835,6A FAIRVIEW PARK SECT M 1ST ST FAIRVIEW PARK,Yuen Long,New Territories,Tower,Residential/Composite,1985-03-26,41.2,22.48078215976892,114.04392509996342,0,,0,0.0
1565609,24836,7 TAI WING LANE LUEN FUNG BUILDING,Tai Po,New Territories,Podium,Residential/Composite,1980-10-03,45.7,22.44770640972308,114.16652759976898,0,,0,0.0
1565628,24837,7E YU KING SQUARE PO FAT BUILDING,Yuen Long,New Territories,Podium,Residential/Composite,1984-06-14,42.0,22.44331115038932,114.02851049975982,0,,0,0.0
