X,Y,OBJECTID,DATASET_EN,DATASET_TC,NAME_EN,ADDRESS_EN,NAME_TC,ADDRESS_TC,SEARCH01_EN,SEARCH01_TC,NSEARCH01_EN,NSEARCH01_TC,NORTHING,EASTING,LATITUDE,LONGITUDE,LASTUPDATE
12709679.177099,2547362.27852557,20,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,129074,10/10A HUMPHREYS AVE,129074,10/10A HUMPHREYS AVE,TOW,TOW,13,13,817693.4,835867.8,22.29817228,114.17299103,2025/07/30 11:44:47+00
12707307.4156561,2545829.78124638,21,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,324859,10/12 HILLIER ST,324859,10/12 HILLIER ST,TOW,TOW,2,2,816283.1,833672.1,22.28543514,114.15168496,2025/07/30 11:44:47+00
12712382.6270354,2552964.77507257,22,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,1059152,10/12 TSUI FUNG ST,1059152,10/12 TSUI FUNG ST,TOW,TOW,2,2,822849,838369.6,22.34472952,114.19727565,2025/07/30 11:44:47+00
12703412.9599942,2555922.57166971,23,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,2059886,100/102 CHUNG ON ST TSUEN WAN,2059886,100/102 CHUNG ON ST TSUEN WAN,TOW,TOW,2,2,825571.2,830070.5,22.36930285,114.11669992,2025/07/30 11:44:47+00
12703299.2374882,2555965.4651912,24,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,5214509,101 CHUEN LUNG ST TSUEN WAN,5214509,101 CHUEN LUNG ST TSUEN WAN,TOW,TOW,1,1,825610.7,829965.3,22.3696586,114.11567869,2025/07/30 11:44:47+00
12703301.7866461,2555808.92746248,25,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,545204,101/117 CHUNG ON ST TSUEN WAN,545204,101/117 CHUNG ON ST TSUEN WAN,TOW,TOW,1,1,825466.7,829967.6,22.3683585,114.11570148,2025/07/30 11:44:47+00
12720787.7976157,2557272.76090897,26,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,2248616,102 MAN NIN ST SAI KUNG,2248616,102 MAN NIN ST SAI KUNG,TOW,TOW,1,1,826815.1,846144.9,22.38051882,114.27278126,2025/07/30 11:44:47+00
12709287.3082691,2548269.10817168,27,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,136325,102/104 SHANGHAI ST,136325,102/104 SHANGHAI ST,TOW,TOW,5,5,818528,835505.1,22.3057099,114.16947032,2025/07/30 11:44:47+00
12709475.6589567,2549977.21305552,28,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,264150,102A/102C FA YUEN ST,264150,102A/102C FA YUEN ST,TOW,TOW,29,29,820099.9,835679.5,22.31990487,114.17116193,2025/07/30 11:44:47+00
12711191.3247649,2549846.78636627,29,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,1235758,103/105 KAU PUI LUNG RD,1235758,103/105 KAU PUI LUNG RD,TOW,TOW,1,1,819979.9,837267.4,22.31882126,114.18657451,2025/07/30 11:44:47+00
12709036.7864767,2549766.04640597,30,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,242452,1031/1035A CANTON RD,242452,1031/1035A CANTON RD,TOW,TOW,1,1,819905.6,835273.3,22.31815021,114.16721943,2025/07/30 11:44:47+00
12708721.720061,2551157.5806911,31,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,4122,87/89 FUK WA ST,4122,87/89 FUK WA ST,TOW,TOW,3,3,821186.1,834981.8,22.32971312,114.16438975,2025/07/30 11:44:47+00
12693667.1595167,2536495.60596117,32,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,2311921,87/89 HING LUNG MAIN ST CHEUNG CHAU,2311921,87/89 HING LUNG MAIN ST CHEUNG CHAU,TOW,TOW,2,2,807696.4,821036.2,22.2078263,114.0291526,2025/07/30 11:44:47+00
12708280.859269,2551151.01764331,33,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,191410,87/89 KWEILIN ST,191410,87/89 KWEILIN ST,TOW,TOW,1,1,821180.1,834573.8,22.32965858,114.16042943,2025/07/30 11:44:47+00
12709153.5005396,2549322.14821057,34,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,36791,874/876 CANTON RD,36791,874/876 CANTON RD,TOW,TOW,2,2,819497.1,835381.3,22.31446139,114.16826832,2025/07/30 11:44:47+00
12706992.9129851,2541434.89842331,35,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,580104,88/88A SHEK PAI WAN RD,580104,88/88A SHEK PAI WAN RD,TOW,TOW,2,2,812237.4,833380.2,22.24889949,114.14885937,2025/07/30 11:44:47+00
